Team names,PLAYER ID,PLAYER NAME,Key_Player,MATCHES,TOTAL RUN,BATTING AVG,Strike Rate,Wickets,ECONOMY,IMPACT (batting),wicket/match,impact bowling,Total impact,Semi-probability
NETHERLAND,259,Roelof van der Merwe,NO,48,460,21.9,129.2,56,6.39,0.1768,1.17,0.1753,0.3521,0.01
NETHERLAND,260,Max O'Dowd,NO,52,1471,31.3,123.9,3,9.39,0.2424,0.06,0.0059,0.2483,0.01
NETHERLAND,261,Tim Pringle,NO,10,40,8,80,6,5.52,0.04,0.6,0.1043,0.1443,0.01
NETHERLAND,262,Colin Ackermann*,NO,17,317,22.6,115.3,7,6.32,0.1629,0.41,0.0625,0.2254,0.01
NETHERLAND,263,Logan van Beek,NO,18,47,7.8,82.5,18,7.98,0.0402,1,0.1203,0.1605,0.01
NETHERLAND,264,Tom Cooper*,NO,27,582,25.3,130.2,3,7.63,0.2059,0.11,0.014,0.2199,0.01
NETHERLAND,265,Shariz Ahmad,NO,7,6,6,150,6,6.77,0.0563,0.86,0.1215,0.1778,0.01
ZIMBABWE,266,Craig Ervine,NO,54,1116,22.32,106.69,0,0,0.1488,0,0,0.1488,0.015
ZIMBABWE,267,Ryan Burl,NO,53,792,26.4,116.12,32,7.28,0.1916,0.6,0.0796,0.2712,0.015
ZIMBABWE,268,Tendai Chatara,NO,45,32,6.4,69.56,51,7.27,0.0278,1.13,0.1497,0.1775,0.015
ZIMBABWE,269,Luke Jongwe,NO,43,325,14.13,117.32,49,8.38,0.1036,1.14,0.1305,0.2342,0.015
ZIMBABWE,270,Wessly Madhevere,NO,42,900,23.68,123.96,10,7.18,0.1835,0.24,0.0318,0.2153,0.015
ZIMBABWE,271,Tony Munyonga,NO,11,111,18.5,98.23,0,3,0.1136,0,0,0.1136,0.015
ZIMBABWE,272,Richard Ngarava,NO,29,25,6.25,104.16,28,7.82,0.0407,0.97,0.1185,0.1592,0.015
ZIMBABWE,273,Sikandar Raza*,NO,64,1185,20.43,127.55,37,7.21,0.1629,0.58,0.077,0.2398,0.015
ZIMBABWE,274,Brad Evans,NO,6,30,10,100,5,7.27,0.0625,0.83,0.11,0.1725,0.015
ZIMBABWE,275,Clive Madande,NO,1,2,2,18.18,0,0,0.0023,0,0,0.0023,0.015
ZIMBABWE,276,Wellington Masakadza,NO,35,82,7.45,86.31,31,7.22,0.0402,0.89,0.1178,0.158,0.015
ZIMBABWE,277,Blessing Muzarabani*,NO,32,18,4.5,56.25,39,7.83,0.0158,1.22,0.1494,0.1652,0.015
ZIMBABWE,278,Milton Shumba,NO,29,383,21.27,108.49,4,8.58,0.1442,0.14,0.0154,0.1597,0.015
ZIMBABWE,279,Sean Williams,NO,64,1390,23.96,126.82,41,6.94,0.1899,0.64,0.0886,0.2785,0.015
